Clean water 60degC 3000Sm3
,Date,LiquidProduced (Sm3/day),WaterProduced (Sm3/day),OilProduced (Sm3/day),GasProduced (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),FracLiquidProduced (Sm3/day),FracWaterProduced (Sm3/day),FracOilProduced (Sm3/day),FracGasProduced (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),GasLiftRate (1000Sm3/d),DiluentRate (Sm3/day),JetRate (Sm3/day),SurfactantRate (Kg/day),NPV (MMUS$),
Clean water 60degC 3000Sm3,11.09.1996 16:48:00,2395.99,0.00020637,2395.99,4.24592e-13,1.772e-13,8.61311e-08,486064,5.6433e+12,610861,0.0453986,610860,1.0825e-13,2999.86,2999.86,0,0,764064,764064,0,0,1.65307e+11,0,0,0,0,2041.4,2041.4,0,0,-10.0061,0,0,0,0,0,0,218.391,
Clean water 60degC 3000Sm3,21.09.1996 16:48:00,2395.46,0.000207501,2395.46,4.24497e-13,1.772e-13,8.66228e-08,488838,5.6433e+12,634815,0.0474736,634815,1.12495e-13,2999.86,2999.86,0,0,794063,794063,0,0,1.71953e+11,0,0,0,0,1563.3,1563.3,0,0,-9.48467,0,0,0,0,0,0,226.662,
Clean water 60degC 3000Sm3,01.10.1996 16:48:00,2395.37,0.000207452,2395.37,4.24481e-13,1.772e-13,8.66054e-08,488740,5.6433e+12,658769,0.0495481,658769,1.1674e-13,2999.86,2999.86,0,0,824062,824062,0,0,1.78605e+11,0,0,0,0,1571.85,1571.85,0,0,-9.41076,0,0,0,0,0,0,234.912,
Clean water 60degC 3000Sm3,11.10.1996 16:48:00,2395.33,0.000207405,2395.33,4.24475e-13,1.772e-13,8.65871e-08,488637,5.6433e+12,682722,0.0516221,682722,1.20985e-13,2999.86,2999.86,0,0,854060,854060,0,0,1.85258e+11,0,0,0,0,1571.6,1571.6,0,0,-9.40579,0,0,0,0,0,0,243.14,
Clean water 60degC 3000Sm3,21.10.1996 16:48:00,2395.31,0.00020721,2395.31,4.24471e-13,1.772e-13,8.65064e-08,488181,5.6433e+12,706675,0.0536942,706675,1.25229e-13,2999.86,2999.86,0,0,884059,884059,0,0,1.9191e+11,0,0,0,0,1574.59,1574.59,0,0,-9.39368,0,0,0,0,0,0,251.347,
Clean water 60degC 3000Sm3,31.10.1996 16:48:00,2395.29,0.000207283,2395.29,4.24468e-13,1.772e-13,8.65378e-08,488359,5.6433e+12,730628,0.055767,730628,1.29474e-13,2999.86,2999.86,0,0,914057,914057,0,0,1.98567e+11,0,0,0,0,1566.91,1566.91,0,0,-9.40517,0,0,0,0,0,0,259.532,
Clean water 60degC 3000Sm3,10.11.1996 16:48:00,2395.27,0.000207195,2395.27,4.24463e-13,1.772e-13,8.65019e-08,488156,5.6433e+12,754581,0.057839,754581,1.33719e-13,2999.86,2999.86,0,0,944056,944056,0,0,2.05202e+11,0,0,0,0,1627.95,1627.95,0,0,-9.39554,0,0,0,0,0,0,267.695,
Clean water 60degC 3000Sm3,20.11.1996 16:48:00,2395.25,0.000213041,2395.25,4.2446e-13,1.772e-13,8.89431e-08,501933,5.6433e+12,778533,0.0599694,778533,1.37963e-13,2999.86,2999.86,0,0,974055,974055,0,0,2.11491e+11,0,0,0,0,2081.98,2081.98,0,0,-9.88123,0,0,0,0,0,0,275.838,
Clean water 60degC 3000Sm3,30.11.1996 16:48:00,2394.82,0.000221833,2394.82,4.24383e-13,1.772e-13,9.26304e-08,522741,5.6433e+12,802481,0.0621877,802481,1.42207e-13,2999.86,2999.86,0,0,1.00405e+06,1.00405e+06,0,0,2.1772e+11,0,0,0,0,2068.98,2068.98,0,0,-10.0893,0,0,0,0,0,0,283.957,
Clean water 60degC 3000Sm3,10.12.1996 16:48:00,2394.21,0.000223141,2394.21,4.24275e-13,1.772e-13,9.32005e-08,525958,5.6433e+12,826423,0.0644191,826423,1.4645e-13,2999.86,2999.86,0,0,1.03405e+06,1.03405e+06,0,0,2.24359e+11,0,0,0,0,1555.64,1555.64,0,0,-9.50082,0,0,0,0,0,0,292.053,
Clean water 60degC 3000Sm3,20.12.1996 16:48:00,2394.09,0.00022309,2394.09,4.24255e-13,1.772e-13,9.31837e-08,525864,5.6433e+12,850364,0.06665,850364,1.50693e-13,2999.86,2999.86,0,0,1.06405e+06,1.06405e+06,0,0,2.30974e+11,0,0,0,0,1608.87,1608.87,0,0,-9.41324,0,0,0,0,0,0,300.128,
Clean water 60degC 3000Sm3,30.12.1996 16:48:00,2394.05,0.000223074,2394.05,4.24248e-13,1.772e-13,9.31783e-08,525833,5.6433e+12,874305,0.0688808,874304,1.54935e-13,2999.86,2999.86,0,0,1.09405e+06,1.09405e+06,0,0,2.37614e+11,0,0,0,0,1538.82,1538.82,0,0,-9.41045,0,0,0,0,0,0,308.182,
Clean water 60degC 3000Sm3,07.01.1997 07:12:00,2393.87,0.000225359,2393.87,4.24215e-13,1.772e-13,9.41401e-08,531261,5.6433e+12,892498,0.0705893,892498,1.58159e-13,2999.86,2999.86,0,0,1.11685e+06,1.11685e+06,0,0,2.42542e+11,0,0,0,0,1531.41,1531.41,0,0,-9.38654,0,0,0,0,0,0,314.288,
Clean water 60degC 3000Sm3,23.01.1997 16:48:00,2393.82,0.000228597,2393.82,4.24206e-13,1.772e-13,9.5495e-08,538907,5.6433e+12,931757,0.0743176,931757,1.65116e-13,2999.86,2999.86,0,0,1.16605e+06,1.16605e+06,0,0,2.53249e+11,0,0,0,0,1535.35,1535.35,0,0,-9.63497,0,0,0,0,0,0,327.424,
Clean water 60degC 3000Sm3,02.02.1997 16:48:00,2393.59,0.000232138,2393.59,4.24166e-13,1.772e-13,9.69834e-08,547307,5.6433e+12,955693,0.076639,955693,1.69358e-13,2999.86,2999.86,0,0,1.19604e+06,1.19604e+06,0,0,2.59749e+11,0,0,0,0,1508.64,1508.64,0,0,-9.65298,0,0,0,0,0,0,335.404,
Clean water 60degC 3000Sm3,12.02.1997 16:48:00,2393.35,0.000235813,2393.35,4.24123e-13,1.772e-13,9.85288e-08,556028,5.6433e+12,979626,0.0789971,979626,1.73599e-13,2999.86,2999.86,0,0,1.22604e+06,1.22604e+06,0,0,2.66249e+11,0,0,0,0,1512.34,1512.34,0,0,-9.65951,0,0,0,0,0,0,343.364,
Clean water 60degC 3000Sm3,22.02.1997 16:48:00,2393.1,0.00023987,2393.1,4.24079e-13,1.772e-13,1.00234e-07,565652,5.6433e+12,1.00356e+06,0.0813958,1.00356e+06,1.7784e-13,2999.86,2999.86,0,0,1.25604e+06,1.25604e+06,0,0,2.72741e+11,0,0,0,0,1515.57,1515.57,0,0,-9.68435,0,0,0,0,0,0,351.302,
Clean water 60degC 3000Sm3,04.03.1997 16:48:00,2392.83,0.000243851,2392.83,4.2403e-13,1.772e-13,1.01909e-07,575104,5.6433e+12,1.02749e+06,0.0838343,1.02749e+06,1.8208e-13,2999.86,2999.86,0,0,1.28604e+06,1.28604e+06,0,0,2.79225e+11,0,0,0,0,1517.17,1517.17,0,0,-9.67193,0,0,0,0,0,0,359.218,
Clean water 60degC 3000Sm3,14.03.1997 16:48:00,2392.56,0.000247543,2392.56,4.23984e-13,1.772e-13,1.03464e-07,583876,5.6433e+12,1.05141e+06,0.0863097,1.05141e+06,1.8632e-13,2999.86,2999.86,0,0,1.31604e+06,1.31604e+06,0,0,2.8572e+11,0,0,0,0,1539.04,1539.04,0,0,-9.64895,0,0,0,0,0,0,367.112,
Clean water 60degC 3000Sm3,24.03.1997 16:48:00,2392.32,0.000251336,2392.32,4.2394e-13,1.772e-13,1.0506e-07,592884,5.6433e+12,1.07533e+06,0.0888231,1.07533e+06,1.90559e-13,2999.86,2999.86,0,0,1.34604e+06,1.34604e+06,0,0,2.92209e+11,0,0,0,0,1512.63,1512.63,0,0,-9.65392,0,0,0,0,0,0,374.986,
Clean water 60degC 3000Sm3,03.04.1997 16:48:00,2392.07,0.000254468,2392.07,4.23896e-13,1.772e-13,1.0638e-07,600333,5.6433e+12,1.09925e+06,0.0913678,1.09925e+06,1.94798e-13,2999.86,2999.86,0,0,1.37604e+06,1.37604e+06,0,0,2.98735e+11,0,0,0,0,1535.48,1535.48,0,0,-9.60019,0,0,0,0,0,0,382.837,
Clean water 60degC 3000Sm3,13.04.1997 16:48:00,2391.86,0.000257657,2391.86,4.23859e-13,1.772e-13,1.07722e-07,607910,5.6433e+12,1.12317e+06,0.0939443,1.12317e+06,1.99037e-13,2999.86,2999.86,0,0,1.40603e+06,1.40603e+06,0,0,3.05242e+11,0,0,0,0,1512.97,1512.97,0,0,-9.60485,0,0,0,0,0,0,390.668,
Clean water 60degC 3000Sm3,23.04.1997 16:48:00,2391.65,0.000260662,2391.65,4.23822e-13,1.772e-13,1.08988e-07,615054,5.6433e+12,1.14709e+06,0.096551,1.14709e+06,2.03275e-13,2999.86,2999.86,0,0,1.43603e+06,1.43603e+06,0,0,3.11762e+11,0,0,0,0,1527.99,1527.99,0,0,-9.58963,0,0,0,0,0,0,398.478,
Clean water 60degC 3000Sm3,03.05.1997 16:48:00,2391.45,0.000262712,2391.45,4.23786e-13,1.772e-13,1.09855e-07,619943,5.6433e+12,1.171e+06,0.0991781,1.171e+06,2.07513e-13,2999.86,2999.86,0,0,1.46603e+06,1.46603e+06,0,0,3.18315e+11,0,0,0,0,1525.73,1525.73,0,0,-9.51665,0,0,0,0,0,0,406.266,
Clean water 60degC 3000Sm3,13.05.1997 16:48:00,2391.31,0.000265603,2391.31,4.23762e-13,1.772e-13,1.1107e-07,626801,5.6433e+12,1.19492e+06,0.101834,1.19492e+06,2.11751e-13,2999.86,2999.86,0,0,1.49603e+06,1.49603e+06,0,0,3.24857e+11,0,0,0,0,1502.78,1502.78,0,0,-9.58218,0,0,0,0,0,0,414.034,
Clean water 60degC 3000Sm3,23.05.1997 16:48:00,2391.11,0.000267919,2391.11,4.23727e-13,1.772e-13,1.12048e-07,632319,5.6433e+12,1.21883e+06,0.104513,1.21883e+06,2.15988e-13,2999.86,2999.86,0,0,1.52603e+06,1.52603e+06,0,0,3.31413e+11,0,0,0,0,1514.84,1514.84,0,0,-9.53436,0,0,0,0,0,0,421.781,
Clean water 60degC 3000Sm3,02.06.1997 16:48:00,2390.96,0.000270096,2390.96,4.237e-13,1.772e-13,1.12965e-07,637497,5.6433e+12,1.24274e+06,0.107214,1.24274e+06,2.20225e-13,2999.86,2999.86,0,0,1.55603e+06,1.55603e+06,0,0,3.37965e+11,0,0,0,0,1491.88,1491.88,0,0,-9.5269,0,0,0,0,0,0,429.507,
Clean water 60degC 3000Sm3,12.06.1997 16:48:00,2390.81,0.00027257,2390.81,4.23673e-13,1.772e-13,1.14007e-07,643378,5.6433e+12,1.26665e+06,0.10994,1.26665e+06,2.24462e-13,2999.86,2999.86,0,0,1.58603e+06,1.58603e+06,0,0,3.44522e+11,0,0,0,0,1488.42,1488.42,0,0,-9.54336,0,0,0,0,0,0,437.213,
Clean water 60degC 3000Sm3,22.06.1997 16:48:00,2390.65,0.000274922,2390.65,4.23644e-13,1.772e-13,1.14999e-07,648975,5.6433e+12,1.29055e+06,0.112689,1.29055e+06,2.28698e-13,2999.86,2999.86,0,0,1.61602e+06,1.61602e+06,0,0,3.51106e+11,0,0,0,0,1521.44,1521.44,0,0,-9.53405,0,0,0,0,0,0,444.898,
Clean water 60degC 3000Sm3,02.07.1997 16:48:00,2390.49,0.000278171,2390.49,4.23617e-13,1.772e-13,1.16366e-07,656687,5.6433e+12,1.31446e+06,0.115471,1.31446e+06,2.32934e-13,2999.86,2999.86,0,0,1.64602e+06,1.64602e+06,0,0,3.57664e+11,0,0,0,0,1477.48,1477.48,0,0,-9.60361,0,0,0,0,0,0,452.562,
