,Date,BottomHolePressure (BARa),SandfacePressureRef|BottomHolePressureRef (BARa),DrainageRegionPressureRef|DrainageRegionPressure (BARa),LiquidProductivityIndex (Sm3/day/bar),GasProductivityIndex (Sm3/day/bar),ProductivityIndexResCond (Rm3/day/bar),WellIndexResCond (Rm3/day/bar),BottomHoleTemperature (deg C),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),HallIntegral (Bar.d),HallVoidageDerivative (Bar.d),HallWaterDerivative (Bar.d),HallGasDerivative (Bar.d),WaterBreakthroughTime (days),GasBreakthroughTime (days),TransitTime (days),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),NPV (MMUS$),
I1,01.10.1996 16:48:00,347.823,349.616,285.342,46.6726,0,46.6713,260.62,60,2999.86,2999.86,0,0,1571.85,1571.85,0,0,0,0,0,0,16186.2,17332.9,17332.9,0,679.274,1e+06,902.844,0,0,0,0,824062,824062,0,0,2.7701e+11,2999.99,3000,824100,-5.00179,
I1,11.10.1996 16:48:00,348.221,350.021,285.574,46.5478,0,46.5465,260.659,60,2999.86,2999.86,0,0,1571.6,1571.6,0,0,0,0,0,0,16830.6,18023.9,18023.9,0,699.819,1e+06,904.682,0,0,0,0,854060,854060,0,0,2.87241e+11,2999.99,3000,854100,-5.1772,
I1,21.10.1996 16:48:00,348.543,350.35,285.761,46.4457,0,46.4444,261.699,60,2999.86,2999.86,0,0,1574.59,1574.59,0,0,0,0,0,0,17476.5,18709.5,18709.5,0,702.316,1e+06,909.017,0,0,0,0,884059,884059,0,0,2.97471e+11,2999.99,3000,884100,-5.35214,
I1,31.10.1996 16:48:00,349.042,350.856,285.996,46.2512,0,46.2499,260.318,60,2999.86,2999.86,0,0,1566.91,1566.91,0,0,0,0,0,0,18125.1,19436.8,19436.8,0,681.911,1e+06,910.608,0,0,0,0,914057,914057,0,0,3.07706e+11,2999.99,3000,914100,-5.52664,
I1,10.11.1996 16:48:00,348.601,350.421,286.145,46.6715,0,46.6701,272.536,60,2999.86,2999.86,0,0,1627.95,1627.95,0,0,0,0,0,0,18767.9,19904.6,19904.6,0,682.43,1e+06,912.878,0,0,0,0,944056,944056,0,0,3.17919e+11,2999.99,3000,944100,-5.70067,
I1,20.11.1996 16:48:00,339.851,341.678,283.662,51.7073,0,51.7058,444.236,60,2999.86,2999.86,0,0,2081.98,2081.98,0,0,0,0,0,0,19348.1,18546.3,18546.3,0,693.086,1e+06,925.455,0,0,0,0,974055,974055,0,0,3.27786e+11,2999.99,3000,974100,-5.87426,
I1,30.11.1996 16:48:00,337.213,339.047,281.009,51.6879,0,51.6864,430.974,60,2999.86,2999.86,0,0,2068.98,2068.98,0,0,0,0,0,0,19928.4,19133.7,19133.7,0,675.776,1e+06,932.199,0,0,0,0,1.00405e+06,1.00405e+06,0,0,3.37592e+11,2999.99,3000,1.0041e+06,-6.04739,
I1,10.12.1996 16:48:00,345.454,347.295,281.748,45.7668,0,45.7655,255.828,60,2999.86,2999.86,0,0,1555.64,1555.64,0,0,0,0,0,0,20583.9,22264.6,22264.6,0,660.181,1e+06,917.256,0,0,0,0,1.03405e+06,1.03405e+06,0,0,3.47808e+11,2999.99,3000,1.0341e+06,-6.22007,
I1,20.12.1996 16:48:00,345.178,347.025,281.947,46.096,0,46.0947,265.745,60,2999.86,2999.86,0,0,1608.87,1608.87,0,0,0,0,0,0,21234.7,22756.4,22756.5,0,665.781,1e+06,919.141,0,0,0,0,1.06405e+06,1.06405e+06,0,0,3.58e+11,2999.99,3000,1.0641e+06,-6.3923,
I1,30.12.1996 16:48:00,346.504,348.359,282.214,45.3532,0,45.3519,251.212,60,2999.86,2999.86,0,0,1538.82,1538.82,0,0,0,0,0,0,21896.1,23790.6,23790.7,0,666.851,1e+06,920.975,0,0,0,0,1.09405e+06,1.09405e+06,0,0,3.68216e+11,2999.99,3000,1.0941e+06,-6.56408,
I1,07.01.1997 07:12:00,345.911,347.771,281.543,45.2961,0,45.2948,252.011,60,2999.86,2999.86,0,0,1531.41,1531.41,0,0,0,0,0,0,22380.3,24550.5,24550.5,0,648.532,1e+06,916.438,0,0,0,0,1.11685e+06,1.11685e+06,0,0,3.75861e+11,2999.99,3000,1.1169e+06,-6.69433,
I1,23.01.1997 16:48:00,344.829,346.701,280.764,45.4964,0,45.4951,239.889,60,2999.86,2999.86,0,0,1535.35,1535.35,0,0,0,0,0,0,23461.3,25298.3,25298.3,0,650.094,1e+06,923.195,0,0,0,0,1.16605e+06,1.16605e+06,0,0,3.92433e+11,2999.99,3000,1.1661e+06,-6.97453,
I1,02.02.1997 16:48:00,344.598,346.475,280.047,45.1591,0,45.1578,231.875,60,2999.86,2999.86,0,0,1508.64,1508.64,0,0,0,0,0,0,24125.5,26151.6,26151.6,0,651.443,1e+06,927.305,0,0,0,0,1.19604e+06,1.19604e+06,0,0,4.02508e+11,2999.99,3000,1.1961e+06,-7.14479,
I1,12.02.1997 16:48:00,344.006,345.891,279.309,45.0554,0,45.0541,231.516,60,2999.86,2999.86,0,0,1512.34,1512.34,0,0,0,0,0,0,24791.4,26877.6,26877.6,0,631.905,1e+06,928.171,0,0,0,0,1.22604e+06,1.22604e+06,0,0,4.12583e+11,2999.99,3000,1.2261e+06,-7.31461,
I1,22.02.1997 16:48:00,343.255,345.146,278.44,44.971,0,44.9697,229.868,60,2999.86,2999.86,0,0,1515.57,1515.57,0,0,0,0,0,0,25458.4,27595.2,27595.2,0,631.895,1e+06,921.242,0,0,0,0,1.25604e+06,1.25604e+06,0,0,4.2265e+11,2999.99,3000,1.2561e+06,-7.48399,
I1,04.03.1997 16:48:00,342.606,344.504,277.651,44.8726,0,44.8714,230.264,60,2999.86,2999.86,0,0,1517.17,1517.17,0,0,0,0,0,0,26127,28324.2,28324.2,0,632.736,1e+06,924.314,0,0,0,0,1.28604e+06,1.28604e+06,0,0,4.32709e+11,2999.99,3000,1.2861e+06,-7.65293,
I1,14.03.1997 16:48:00,341.93,343.835,276.976,44.8685,0,44.8673,233.609,60,2999.86,2999.86,0,0,1539.04,1539.04,0,0,0,0,0,0,26795.5,28995.4,28995.5,0,614.098,1e+06,926.384,0,0,0,0,1.31604e+06,1.31604e+06,0,0,4.42778e+11,2999.99,3000,1.3161e+06,-7.82142,
I1,24.03.1997 16:48:00,341.682,343.594,276.264,44.5546,0,44.5534,225.75,60,2999.86,2999.86,0,0,1512.63,1512.63,0,0,0,0,0,0,27468.8,29873,29873.1,0,613.695,1e+06,927.32,0,0,0,0,1.34604e+06,1.34604e+06,0,0,4.5284e+11,2999.99,3000,1.3461e+06,-7.98948,
I1,03.04.1997 16:48:00,341.414,343.332,275.868,44.4661,0,44.4649,225.91,60,2999.86,2999.86,0,0,1535.48,1535.48,0,0,0,0,0,0,28143.5,30607.2,30607.2,0,612.758,1e+06,926.114,0,0,0,0,1.37604e+06,1.37604e+06,0,0,4.62939e+11,2999.99,3000,1.3761e+06,-8.1571,
I1,13.04.1997 16:48:00,341.186,343.111,275.305,44.2419,0,44.2407,218.029,60,2999.86,2999.86,0,0,1512.97,1512.97,0,0,0,0,0,0,28821.5,31440.3,31440.4,0,614.254,1e+06,921.954,0,0,0,0,1.40603e+06,1.40603e+06,0,0,4.73019e+11,2999.99,3000,1.4061e+06,-8.32428,
I1,23.04.1997 16:48:00,340.88,342.812,274.895,44.1692,0,44.1679,220.209,60,2999.86,2999.86,0,0,1527.99,1527.99,0,0,0,0,0,0,29500.7,32171.3,32171.4,0,585.324,1e+06,921.772,0,0,0,0,1.43603e+06,1.43603e+06,0,0,4.83112e+11,2999.99,3000,1.4361e+06,-8.49103,
I1,03.05.1997 16:48:00,341.21,343.149,274.847,43.9204,0,43.9192,219.466,60,2999.86,2999.86,0,0,1525.73,1525.73,0,0,0,0,0,0,30183.7,33036.6,33036.6,0,593.447,1e+06,921.526,0,0,0,0,1.46603e+06,1.46603e+06,0,0,4.93237e+11,2999.99,3000,1.4661e+06,-8.65734,
I1,13.05.1997 16:48:00,341.245,343.191,274.459,43.6459,0,43.6447,214.046,60,2999.86,2999.86,0,0,1502.78,1502.78,0,0,0,0,0,0,30871.1,33931.7,33931.8,0,594.545,1e+06,923.745,0,0,0,0,1.49603e+06,1.49603e+06,0,0,5.03351e+11,2999.99,3000,1.4961e+06,-8.82322,
I1,23.05.1997 16:48:00,341.224,343.177,274.31,43.5605,0,43.5593,215.614,60,2999.86,2999.86,0,0,1514.84,1514.84,0,0,0,0,0,0,31559.7,34686.9,34687,0,565.363,1e+06,923.569,0,0,0,0,1.52603e+06,1.52603e+06,0,0,5.13479e+11,2999.99,3000,1.5261e+06,-8.98866,
I1,02.06.1997 16:48:00,341.465,343.425,274.113,43.281,0,43.2798,211.197,60,2999.86,2999.86,0,0,1491.88,1491.88,0,0,0,0,0,0,32252.8,35604.1,35604.1,0,575.014,1e+06,914.191,0,0,0,0,1.55603e+06,1.55603e+06,0,0,5.23602e+11,2999.99,3000,1.5561e+06,-9.15368,
I1,12.06.1997 16:48:00,341.525,343.492,273.908,43.1116,0,43.1104,209.292,60,2999.86,2999.86,0,0,1488.42,1488.42,0,0,0,0,0,0,32948.7,36439.8,36439.9,0,574.885,1e+06,916.041,0,0,0,0,1.58603e+06,1.58603e+06,0,0,5.33731e+11,2999.99,3000,1.5861e+06,-9.31826,
I1,22.06.1997 16:48:00,341.432,343.406,273.844,43.1248,0,43.1236,214.125,60,2999.86,2999.86,0,0,1521.44,1521.44,0,0,0,0,0,0,33644.3,37124.3,37124.4,0,556.758,1e+06,915.85,0,0,0,0,1.61602e+06,1.61602e+06,0,0,5.43886e+11,2999.99,3000,1.6161e+06,-9.48242,
I1,02.07.1997 16:48:00,341.493,343.475,273.363,42.7869,0,42.7858,203.904,60,2999.86,2999.86,0,0,1477.48,1477.48,0,0,0,0,0,0,34345.4,38118.6,38118.6,0,553.798,1e+06,917.428,0,0,0,0,1.64602e+06,1.64602e+06,0,0,5.54014e+11,2999.99,3000,1.6461e+06,-9.64614,
